A	a
Brytan	b r yy . t a n
Brytyjczyka	b r y . t y j . tSz yy . k a
Brytyjczyków	b r y . t y j . tSz yy . k u f
Brytyjczyków	b r y . t y j . tSz yy . k u v
brytyjskie	b r y . t yy j . s c j e
brytyjskiego	b r y . t y j . s c j ee . g o
brytyjską	b r y . t yy j . s k o w_
brzeg	b rZ ee g
brzeg	b rZ ee k
brzegami	b rZ e . g aa . m i
brzmi	b rZ m ii
Brzmią	b rZ m j oo w_
brzozą	b rZ oo . z o w_
Brzuch	b rZ uu x
brzydko	b rZ yy . t k o
Bua	b uu . a
bubel	b uu . b e l
budet	b uu . d e d
budet	b uu . d e t
budetu	b u . d ee . t u
Budki	b uu . t c i
budowa	b u . d oo . v a
budowana	b u . d o . v aa . n a
budowanego	b u . d o . v a . n ee . g o
budowania	b u . d o . v aa . ni a
budowaniu	b u . d o . v aa . ni u
budowała	b u . d o . v aa . w a
budowie	b u . d oo v . j e
budowlana	b u . d o . v l aa . n a
budowy	b u . d oo . v y
budową	b u . d oo . v o w_
budowę	b u . d oo . v e
buduj	b uu . d u j
buduje	b u . d uu . j e
budują	b u . d uu . j o w_
budujące	b u . d u . j oo n . ts e
budującej	b u . d u . j oo n . ts e j
budynek	b u . d yy . n e g
budynek	b u . d yy . n e k
budynku	b u . d yy N_ . k u
budynków	b u . d yy N_ . k u f
budynków	b u . d yy N_ . k u v
budzisz	b uu . dzi i rZ
budzisz	b uu . dzi i Sz
budzić	b uu . dzi i dzi
budzić	b uu . dzi i tsi
budzą	b uu . dz o w_
budżecie	b u . drZ ee . tsi e
budżet	b uu . d rZ e d
budżet	b uu . d rZ e t
budżetowe	b u . d rZ e . t oo . v e
budżetowego	b u . d rZ e . t o . v ee . g o
budżetowej	b u . d rZ e . t oo . v e j
budżetowi	b u . d rZ e . t oo . v i
budżetowych	b u . d rZ e . t oo . v y x
budżetu	b u . d rZ ee . t u
budżetówka	b u . d rZ e . t uu f . k a
Bujak	b uu . j a g
Bujak	b uu . j a k
Bukareszcie	b u . k a . r ee Sz . tsi e
Bulscy	b uu l . s ts y
Bulski	b uu l . s c i
Bulskich	b uu l . s c i x
Bulskiego	b u l . s c j ee . g o
Bulskim	b uu l . s c i m
Bundesbanku	b u n . d e z . b aa N_ . k u
Bundestagu	b u n . d e s . t aa . g u
buntownicy	b u n . t o v . ni ii . ts y
burdelu	b u r . d ee . l u
Burmistrz	b uu r . m i s tSz
Burmistrz	b uu r . m i z drZ
burmistrzowi	b u r . m i s . t Sz oo . v i
burząc	b uu . rZ o n dz
burząc	b uu . rZ o n ts
burząca	b u . rZ oo n . ts a
Bush	b uu s x
Bush	b uu z x
Business	b ii z . n e s s
Business	b ii z . n e s z
butem	b uu . t e m
butla	b uu . t l a
Buzek	b uu . z e g
Buzek	b uu . z e k
Buzka	b uu s . k a
Buzkowi	b u s . k oo . v i
Bułgar	b uu w . g a r
Bułgarek	b u w . g aa . r e g
Bułgarek	b u w . g aa . r e k
bułgarskiego	b u w . g a r . s c j ee . g o
by	b y
Bycie	b yy . tsi e
bydlecych	b y . d l ee . ts y x
byle	b yy . l e
byli	b yy . l i
byliby	b y . l ii . b y
bylibymy	b y . l i . b yy . m y
bylimy	b y . l ii . m y
bym	b y m
byt	b yy d
byt	b yy t
bywa	b yy . v a
bywali	b y . v aa . l i
być	b yy dzi
być	b yy tsi
był	b yy w
była	b yy . w a
byłaby	b y . w aa . b y
byłby	b yy w . b y
byłego	b y . w ee . g o
byłem	b yy . w e m
było	b yy . w o
byłoby	b y . w oo . b y
były	b yy . w y
byłyby	b y . w yy . b y
byłą	b yy . w o w_
ból	b uu l
bóle	b uu . l e
bólu	b uu . l u
bąd	b oo n d
bąd	b oo n t
bądź	b oo ni dzi
bądź	b oo ni tsi
będzie	b ee ni . dzi e
będziecie	b e ni . dzi ee . tsi e
będziemy	b e ni . dzi ee . m y
będą	b ee n . d o w_
będąc	b ee n . d o n dz
będąc	b ee n . d o n ts
będąca	b e n . d oo n . ts a
będącej	b e n . d oo n . ts e j
Będę	b ee n . d e
Błasik	b w aa . si i g
Błasik	b w aa . si i k
Błasika	b w a . si ii . k a
Błasiku	b w a . si ii . k u
Błaszczak	b w aa Sz . tSz a g
Błaszczak	b w aa Sz . tSz a k
Błaszczaka	b w a Sz . tSz aa . k a
błazenadę	b w a . z e . n aa . d e
Błedowski	b w e . d oo . f s c i
błedu	b w ee . d u
błedy	b w ee . d y
błogosławieństwo	b w o . g o . s w a v . j ee j_ . s t f o
błota	b w oo . t a
błysnął	b w yy s . n o w
błąd	b w oo n d
błąd	b w oo n t
błędem	b w ee n . d e m
błędów	b w ee n . d u f
błędów	b w ee n . d u v
Cambridge	ts a m . b r ii d . g e
Canadian	ts a . n aa d . j a n
Canale	ts a . n aa . l e
CannaCare	ts a . n n a . ts aa . r e
Capital	ts a . p ii . t a l
Carlosa	ts a r . l oo . s a
Catalina	ts a . t a . l ii . n a
Catherine	ts a . t x e . r ii . n e
cała	ts aa . w a
całe	ts aa . w e
całego	ts a . w ee . g o
całej	ts aa . w e j
całkiem	ts aa w . c j e m
całkowicie	ts a w . k o . v ii . tsi e
całkowita	ts a w . k o . v ii . t a
całkowitej	ts a w . k o . v ii . t e j
całkowitych	ts a w . k o . v ii . t y x
całoa	ts a . w oo . a
całodobowym	ts a . w o . d o . b oo . v y m
całości	ts a . w oo si . tsi i
całościowego	ts a . w o si . tsi o . v ee . g o
całość	ts aa . w o si tsi
całość	ts aa . w o zi dzi
cały	ts aa . w y
całym	ts aa . w y m
całą	ts aa . w o w_
cech	ts ee x
Cechuje	ts e . x uu . j e
cegiełek	ts e . gi j ee . w e g
cegiełek	ts e . gi j ee . w e k
cel	ts ee l
cele	ts ee . l e
celebryci	ts e . l e . b r yy . tsi i
celem	ts ee . l e m
celownik	ts e . l oo v . ni i g
celownik	ts e . l oo v . ni i k
Celsjusza	ts e l . s j uu . Sz a
celu	ts ee . l u
celów	ts ee . l u f
celów	ts ee . l u v
cen	ts ee n
cena	ts ee . n a
cenach	ts ee . n a x
cenia	ts ee . ni a
cenie	ts ee . ni e
ceniony	ts e . ni oo . n y
Center	ts ee n . t e r
centrali	ts e n . t r aa . l i
Centralne	ts e n . t r aa l . n e
centralnym	ts e n . t r aa l . n y m
Centro	ts ee n . t r o
centrolewicowych	ts e n . t r o . l e . v i . ts oo . v y x
centrum	ts ee n . t r u m
centymetrową	ts e n . t y . m e . t r oo . v o w_
ceny	ts ee . n y
cenę	ts ee . n e
ceremonia	ts e . r e . m oo . ni a
Cesarskiego	ts e . s a r . s c j ee . g o
Cesarskim	ts e . s aa r . s c i m
Cezary	ts e . z aa . r y
Cha	x aa
Chadam	x aa . d a m
chadeccy	x a . d ee . ts ts y
chadecja	x a . d ee . ts j a
chadecji	x a . d ee . ts i
Chadecki	x a . d ee . ts c i
chadeckiej	x a . d ee . ts c j e j
chadecką	x a . d ee . ts k o w_
Chalid	x aa . l i d
Chalid	x aa . l i t
chamstwa	x aa m . s t f a
chamstwem	x aa m . s t f e m
chamów	x aa . m u f
chamów	x aa . m u v
Chapel	x aa . p e l
charakter	x a . r aa . k t e r
charakterem	x a . r a . k t ee . r e m
charakterystyczne	x a . r a . k t e . r y s . t yy . tSz n e
charakteryzująca	x a . r a . k t e . r y . z u . j oo n . ts a
charakterze	x a . r a . k t ee . rZ e
charakterów	x a . r a . k t ee . r u f
charakterów	x a . r a . k t ee . r u v
charytatywną	x a . r y . t a . t yy v . n o w_
Chase	x aa . s e
chce	x ts ee
chcemy	x ts ee . m y
chcesz	x ts ee rZ
chcesz	x ts ee Sz
chciano	x tsi aa . n o
chciał	x tsi aa w
chciała	x tsi aa . w a
chciałaby	x tsi a . w aa . b y
chciałby	x tsi aa w . b y
chciałbym	x tsi aa w . b y m
chciea	x tsi ee . a
chcieli	x tsi ee . l i
chcielibymy	x tsi e . l i . b yy . m y
chcielimy	x tsi e . l ii . m y
chcą	x ts oo w_
chcące	x ts oo n . ts e
chcę	x ts ee
chea	x ee . a
chem	x ee m
chemia	x ee m . j a
chemiczne	x e . m ii . tSz n e
chemicznych	x e . m ii . tSz n y x
Chemie	x ee m . j e
chemikaliów	x e . m i . k aa l . j u f
chemikaliów	x e . m i . k aa l . j u v
chemików	x e . m ii . k u f
chemików	x e . m ii . k u v
chemioterap	x e m . j o . t ee . r a b
chemioterap	x e m . j o . t ee . r a p
chemią	x ee m . j o w_
Chen	x ee n
Chena	x ee . n a
Chenem	x ee . n e m
chetni	x ee . t ni i
chetnie	x ee . t ni e
Chicago	x i . ts aa . g o
chicagowska	x i . ts a . g oo . f s k a
chicagowską	x i . ts a . g oo . f s k o w_
Chile	tSz ii . l e
Chin	x ii n
Chinach	x ii . n a x
chinskiego	x i w_ . s c j ee . g o
Chiny	x ii . n y
chirurg	x ii . r u r g
chirurg	x ii . r u r k
chirurga	x i . r uu r . g a
chińska	x ii j_ . s k a
chiński	x ii j_ . s c i
chińskich	x ii j_ . s c i x
chińskiego	x i j_ . s c j ee . g o
chińskiemu	x i j_ . s c j ee . m u
chińskim	x ii j_ . s c i m
chińską	x ii j_ . s k o w_
chlanie	x l aa . ni e
chleba	x l ee . b a
Chobot	x oo . b o d
Chobot	x oo . b o t
chodniku	x o . d ni ii . k u
Chodze	x oo . dz e
chodzeniem	x o . dz ee . ni e m
chodzi	x oo . dzi i
chodzia	x oo . dzi a
Chodzieży	x o . dzi ee . rZ y
chodził	x oo . dzi i w
chodziła	x o . dzi ii . w a
chodziło	x o . dzi ii . w o
chodziły	x o . dzi ii . w y
chodzą	x oo . dz o w_
Cholera	x o . l ee . r a
Chopin	x oo . p i n
Chopinowi	x o . p i . n oo . v i
chore	x oo . r e
chorego	x o . r ee . g o
chorej	x oo . r e j
choremu	x o . r ee . m u
choroba	x o . r oo . b a
chorobami	x o . r o . b aa . m i
chorobe	x o . r oo . b e
chorobie	x o . r oo . b j e
chorobotwórcze	x o . r o . b o . t f uu r . tSz e
choroby	x o . r oo . b y
chorobą	x o . r oo . b o w_
chorobę	x o . r oo . b e
chorować	x o . r oo . v a dzi
chorować	x o . r oo . v a tsi
Choruje	x o . r uu . j e
Chory	x oo . r y
chorych	x oo . r y x
chorym	x oo . r y m
chorymi	x o . r yy . m i
Chorzów	x oo . rZ u f
Chorzów	x oo . rZ u v
chorób	x oo . r u b
chorób	x oo . r u p
chorążego	x o . r o w_ . rZ ee . g o
choć	x oo dzi
choć	x oo tsi
choćby	x oo dzi . b y
chościa	x oo si . tsi a
chościaż	x oo si . tsi a rZ
chościaż	x oo si . tsi a Sz
Christan	x r ii s . t a n
Chrobrego	x r o . b r ee . g o
chroni	x r oo . ni i
chroniczne	x r o . ni ii . tSz n e
chronicznemu	x r o . ni i . tSz n ee . m u
chronicznie	x r o . ni ii . tSz ni e
chronione	x r o . ni oo . n e
chronić	x r oo . ni i dzi
chronić	x r oo . ni i tsi
chronił	x r oo . ni i w
chroniła	x r o . ni ii . w a
chrześcijan	x Sz e si . tsi ii . j a n
chrześcijańskiej	x Sz e si . tsi i . j aa j_ . s c j e j
chudną	x uu . d n o w_
Chudnąa	x uu . d n a
chwalimy	x f a . l ii . m y
chwalił	x f aa . l i w
chwała	x f aa . w a
chwil	x f ii l
chwile	x f ii . l e
chwili	x f ii . l i
chwilą	x f ii . l o w_
Chwilę	x f ii . l e
chwyciła	x f y . tsi ii . w a
chyba	x yy . b a
chęci	x ee ni . tsi i
chętnie	x ee n . t ni e
chłodna	x w oo . d n a
chłodne	x w oo . d n e
chłody	x w oo . d y
chłopak	x w oo . p a g
chłopak	x w oo . p a k
chłopaków	x w o . p aa . k u f
chłopaków	x w o . p aa . k u v
chłopca	x w oo . p ts a
chłopcy	x w oo . p ts y
Chłopie	x w oo . p j e
Chłopiec	x w oo . p j e dz
Chłopiec	x w oo . p j e ts
Chłoponina	x w o . p o . ni ii . n a
chłód	x w uu d
chłód	x w uu t
ci	tsi i
Cialo	tsi aa . l o
cianą	tsi aa . n o w_
ciał	tsi aa w
ciała	tsi aa . w a
ciało	tsi aa . w o
cie	tsi ee
ciear	tsi ee . a r
ciebie	tsi ee . b j e
cieczy	tsi ee . tSz y
cieek	tsi ee . e g
cieek	tsi ee . e k
ciekawa	tsi e . k aa . v a
Ciekawe	tsi e . k aa . v e
ciekawego	tsi e . k a . v ee . g o
ciekawoa	tsi e . k a . v oo . a
ciekawsze	tsi e . k aa . f Sz e
ciekawy	tsi e . k aa . v y
cieke	tsi ee . k e
cieki	tsi ee . c i
cieko	tsi ee . k o
cielesnych	tsi e . l ee s . n y x
cienką	tsi ee N_ . k o w_
cienną	tsi ee . n n o w_
cieplej	tsi ee . p l e j
cieplejsza	tsi e . p l ee j . Sz a
ciepły	tsi ee . p w y
cierpliwie	tsi e r . p l ii v . j e
Ciesyła	tsi e . s yy . w a
cieszy	tsi ee . Sz y
cieszyć	tsi ee . Sz y dzi
cieszyć	tsi ee . Sz y tsi
Cieszę	tsi ee . Sz e
cios	tsi oo s
cios	tsi oo z
ciosem	tsi oo . s e m
ciosy	tsi oo . s y
ciszonych	tsi i . Sz oo . n y x
ciszy	tsi ii . Sz y
Ciudad	tsi uu . d a d
Ciudad	tsi uu . d a t
ciąe	tsi ee
ciąg	tsi oo N_ g
ciąg	tsi oo N_ k
ciągle	tsi oo N_ . g l e
ciągnie	tsi oo N_ . g ni e
ciągnieta	tsi o N_ . g ni ee . t a
ciągnięcie	tsi o N_ . g ni ee ni . tsi e
ciągu	tsi oo N_ . g u
ciąży	tsi oo w_ . rZ y
ciążył	tsi oo w_ . rZ y w
ciążyła	tsi o w_ . rZ yy . w a
ciążących	tsi o w_ . rZ oo n . ts y x
cięcia	tsi ee ni . tsi a
ciętymi	tsi e n . t yy . m i
cięć	tsi ee ni dzi
cięć	tsi ee ni tsi
ciężarną	tsi e w_ . rZ aa r . n o w_
ciężarową	tsi e w_ . rZ a . r oo . v o w_
ciężarówek	tsi e w_ . rZ a . r uu . v e g
ciężarówek	tsi e w_ . rZ a . r uu . v e k
ciężarówki	tsi e w_ . rZ a . r uu f . c i
ciężki	tsi ee w_ . Sz c i
ciężkie	tsi ee w_ . Sz c j e
ciężko	tsi ee w_ . Sz k o
ciśnieniem	tsi i si . ni ee . ni e m
Club	k l uu b
Club	k l uu p
cmentarz	ts m ee n . t a rZ
cmentarz	ts m ee n . t a Sz
co	ts oo
Coats	ts oo . a d z
Coats	ts oo . a t s
Codziennie	ts o . dzi ee . ni ni e
cofać	ts oo . f a dzi
cofać	ts oo . f a tsi
cokolwiek	ts o . k oo l . v j e g
cokolwiek	ts o . k oo l . v j e k
Cole	ts oo . l e
coli	ts oo . l i
Collegium	ts o . l l ee . gi j u m
com	ts oo m
comiesięczną	ts o m . j e . si ee n . tSz n o w_
Concavenator	ts o n . ts a . v e . n aa . t o r
Concepcion	ts o n . ts ee . p tsi o n
Confederation	ts o n . f e . d e . r aa . t j o n
Conviasa	ts o n . v aa . s a
coraz	ts oo . r a s
coraz	ts oo . r a z
corcovatur	ts o r . ts o . v aa . t u r
corka	ts oo r . k a
coroczne	ts o . r oo . tSz n e
corocznie	ts o . r oo . tSz ni e
coś	ts oo si
coś	ts oo zi
Cud	ts uu d
Cud	ts uu t
cuda	ts uu . d a
cudem	ts uu . d e m
cudotwórcy	ts u . d o . t f uu r . ts y
cudownych	ts u . d aa w . n y x
cudownym	ts u . d aa w . n y m
Cuenca	ts u . ee n . ts a
cukier	ts uu . c j e r
cukru	ts uu . k r u
cukrzyca	ts u . k Sz yy . ts a
cukrzycowej	ts u . k Sz y . ts oo . v e j
cukrzycy	ts u . k Sz yy . ts y
cukrzycą	ts u . k Sz yy . ts o w_
cukrzycę	ts u . k Sz yy . ts e
cyberprzestępców	ts y . b e r . p Sz e s . t ee m . p ts u f
cyberprzestępców	ts y . b e r . p Sz e s . t ee m . p ts u v
cykl	ts yy g l
cykl	ts yy k l
cyklu	ts yy . k l u
Cymanski	ts y . m aa w_ . s c i
cyniczny	ts y . ni ii . tSz n y
cynizm	ts yy . ni i s m
cynizm	ts yy . ni i z m
cyrku	ts yy r . k u
cyrkulacja	ts y r . k u . l aa . ts j a
Cysterna	ts y s . t ee r . n a
cysternę	ts y s . t ee r . n e
Cytaty	ts y . t aa . t y
Cytowany	ts y . t o . v aa . n y
cytowanych	ts y . t o . v aa . n y x
cytuje	ts y . t uu . j e
cywilami	ts y . v i . l aa . m i
cywilizacyjny	ts y . v i . l i . z a . ts yy j . n y
cywilna	ts y . v ii l . n a
cywilne	ts y . v ii l . n e
Cywilnego	ts y . v i l . n ee . g o
cywilnej	ts y . v ii l . n e j
cywilnym	ts y . v ii l . n y m
cywilną	ts y . v ii l . n o w_
cyłaca	ts y . w aa . ts a
czarne	tSz aa r . n e
czarnej	tSz aa r . n e j
Czarnek	tSz aa r . n e g
Czarnek	tSz aa r . n e k
czarno	tSz aa r . n o
czas	tSz aa s
czas	tSz aa z
czasach	tSz aa . s a x
czasami	tSz a . s aa . m i
czasem	tSz aa . s e m
czasie	tSz aa . si e
czasu	tSz aa . s u
Czasy	tSz aa . s y
czaszce	tSz aa Sz . ts e
czaszką	tSz aa Sz . k o w_
czaszkę	tSz aa Sz . k e
czasów	tSz aa . s u f
czasów	tSz aa . s u v
czea	tSz ee . a
Czechach	tSz ee . x a x
Czechy	tSz ee . x y
czego	tSz ee . g o
czegoś	tSz ee . g o si
czegoś	tSz ee . g o zi
czek	tSz ee g
czek	tSz ee k
czeka	tSz ee . k a
czekaa	tSz e . k aa . a
czekają	tSz e . k aa . j o w_
czekaniem	tSz e . k aa . ni e m
czekać	tSz ee . k a dzi
czekać	tSz ee . k a tsi
czekoladki	tSz e . k o . l aa . t c i
czele	tSz ee . l e
Czemu	tSz ee . m u
Czernicki	tSz e r . ni ii . ts c i
czerpie	tSz ee r . p j e
czerpią	tSz ee r . p j o w_
czerwca	tSz ee r . f ts a
czerwcu	tSz ee r . f ts u
czerwienienia	tSz e r . v j e . ni ee . ni a
czerwone	tSz e r . v oo . n e
czerwonego	tSz e r . v o . n ee . g o
Czerwonych	tSz e r . v oo . n y x
Czesia	tSz ee . si a
czeskiej	tSz ee s . c j e j
czesto	tSz ee s . t o
Czestochowie	tSz e s . t o . x oo v . j e
czestochowskiego	tSz e s . t o . x o f s . c j ee . g o
czestochowskim	tSz e s . t o . x oo . f s c i m
Czesława	tSz e . s w aa . v a
cześciej	tSz ee si . tsi e j
cześć	tSz ee si tsi
cześć	tSz ee zi dzi
czołgi	tSz oo w . gi i
czoło	tSz oo . w o
czołowego	tSz o . w o . v ee . g o
czołowych	tSz o . w oo . v y x
czterdziestu	tSz t e r . dzi ee s . t u
czterdzieści	tSz t e r . dzi ee si . tsi i
czterech	tSz t ee . r e x
czterospadowym	tSz t e . r o s . p a . d oo . v y m
cztery	tSz t ee . r y
czua	tSz uu . a
czuje	tSz uu . j e
czujniki	tSz u j . ni ii . c i
czujność	tSz uu j . n o si tsi
czujność	tSz uu j . n o zi dzi
czuję	tSz uu . j e
czuć	tSz uu dzi
czuć	tSz uu tsi
czułem	tSz uu . w e m
czułym	tSz uu . w y m
czwarta	tSz f aa r . t a
czwartej	tSz f aa r . t e j
czwartek	tSz f aa r . t e g
czwartek	tSz f aa r . t e k
czwartkowego	tSz f a r . t k o . v ee . g o
czwartkowej	tSz f a r . t k oo . v e j
czwartkowym	tSz f a r . t k oo . v y m
czwartku	tSz f aa r . t k u
czwartą	tSz f aa r . t o w_
czy	tSz yy
czyj	tSz yy j
Czyja	tSz yy . j a
Czyli	tSz yy . l i
czym	tSz yy m
czyni	tSz yy . ni i
czynia	tSz yy . ni a
czynienia	tSz y . ni ee . ni a
czynimy	tSz y . ni ii . m y
czynniki	tSz y . ni ni ii . c i
czynnikiem	tSz y . ni ni ii . c j e m
czynności	tSz y . n n oo si . tsi i
czynnościach	tSz y . n n oo si . tsi a x
czynsz	tSz yy w_ rZ
czynsz	tSz yy w_ Sz
czynszów	tSz yy w_ . Sz u f
czynszów	tSz yy w_ . Sz u v
czynu	tSz yy . n u
czynów	tSz yy . n u f
czynów	tSz yy . n u v
czysto	tSz yy s . t o
czystym	tSz yy s . t y m
czyta	tSz yy . t a
czytaj	tSz yy . t a j
czytam	tSz yy . t a m
Czytamy	tSz y . t aa . m y
czytać	tSz yy . t a dzi
czytać	tSz yy . t a tsi
czytelnictwu	tSz y . t e l . ni ii . ts t f u
czytelny	tSz y . t ee l . n y
cząsteczek	tSz o w_ . s t ee . tSz e g
cząsteczek	tSz o w_ . s t ee . tSz e k
cząsteczkach	tSz o w_ . s t ee . tSz k a x
częsta	tSz ee w_ . s t a
częste	tSz ee w_ . s t e
często	tSz ee w_ . s t o
części	tSz ee w_ . si tsi i
częściej	tSz ee w_ . si tsi e j
częściowo	tSz e w_ . si tsi oo . v o
częścią	tSz ee w_ . si tsi o w_
część	tSz ee w_ si tsi
część	tSz ee w_ zi dzi
członek	tSz w oo . n e g
członek	tSz w oo . n e k
członka	tSz w oo N_ . k a
członkami	tSz w o N_ . k aa . m i
członkiem	tSz w oo N_ . c j e m
członkostwa	tSz w o N_ . k oo s . t f a
członkostwo	tSz w o N_ . k oo s . t f o
członkowie	tSz w o N_ . k oo v . j e
członkowskich	tSz w o N_ . k oo . f s c i x
członków	tSz w oo N_ . k u f
członków	tSz w oo N_ . k u v
człowiek	tSz w oo v . j e g
człowiek	tSz w oo v . j e k
człowieka	tSz w o v . j ee . k a
człowiekiem	tSz w o v . j ee . c j e m
Cézanne	dz # z aa . n n e
córek	ts uu . r e g
córek	ts uu . r e k
córke	ts uu r . k e
córki	ts uu r . c i
córką	ts uu r . k o w_
córkę	ts uu r . k e
da	d aa
daa	d aa . a
dach	d aa x
dachem	d aa . x e m
dachu	d aa . x u
dacie	d aa . tsi e
dadzą	d aa . dz o w_
dajcie	d aa j . tsi e
Daje	d aa . j e
dają	d aa . j o w_
dając	d aa . j o n dz
dając	d aa . j o n ts
dalej	d aa . l e j
Dalekiej	d a . l ee . c j e j
daleko	d a . l ee . k o
Dalsze	d aa l . Sz e
dalszy	d aa l . Sz y
dalszych	d aa l . Sz y x
dalszym	d aa l . Sz y m
dalszą	d aa l . Sz o w_
Dan	d aa n
Dane	d aa . n e
danego	d a . n ee . g o
danej	d aa . n e j
dany	d aa . n y
danych	d aa . n y x
Dariusz	d aa r . j u rZ
Dariusz	d aa r . j u Sz
darmowym	d a r . m oo . v y m
darowany	d a . r o . v aa . n y
dat	d aa d
dat	d aa t
daty	d aa . t y
David	d aa . v i d
David	d aa . v i t
Davida	d a . v ii . d a
Davis	d aa . v i s
Davis	d aa . v i z
dawania	d a . v aa . ni a
dawać	d aa . v a dzi
dawać	d aa . v a tsi
Dawid	d aa . v i d
Dawid	d aa . v i t
dawki	d aa f . c i
dawkę	d aa f . k e
dawna	d aa v . n a
dawno	d aa v . n o
dawny	d aa v . n y
dawnych	d aa v . n y x
dawnym	d aa v . n y m
dać	d aa dzi
dać	d aa tsi
dał	d aa w
dałem	d aa . w e m
dało	d aa . w o
de	d ee
debacie	d e . b aa . tsi e
debata	d e . b aa . t a
debaty	d e . b aa . t y
Deborahę	d e . b o . r aa . x e
decydować	d e . ts y . d oo . v a dzi
decydować	d e . ts y . d oo . v a tsi
decyduje	d e . ts y . d uu . j e
decydujemy	d e . ts y . d u . j ee . m y
decydujesz	d e . ts y . d uu . j e rZ
decydujesz	d e . ts y . d uu . j e Sz
decydującym	d e . ts y . d u . j oo n . ts y m
decyzja	d e . ts yy z . j a
decyzjami	d e . ts y z . j aa . m i
decyzje	d e . ts yy z . j e
decyzji	d e . ts yy . z i
decyzją	d e . ts yy z . j o w_
decyzję	d e . ts yy z . j e
deficytu	d e . f i . ts yy . t u
definitywnej	d e . f i . ni i . t yy v . n e j
degradację	d e . g r a . d aa . ts j e
dekady	d e . k aa . d y
dekadzie	d e . k aa . dzi e
dekadę	d e . k aa . d e
dekalog	d e . k aa . l o g
dekalog	d e . k aa . l o k
deklaracja	d e . k l a . r aa . ts j a
Deklaracje	d e . k l a . r aa . ts j e
deklaracji	d e . k l a . r aa . ts i
deklaruje	d e . k l a . r uu . j e
deklarujących	d e . k l a . r u . j oo n . ts y x
dekorować	d e . k o . r oo . v a dzi
dekorować	d e . k o . r oo . v a tsi
delegacja	d e . l e . g aa . ts j a
delegacje	d e . l e . g aa . ts j e
delegacji	d e . l e . g aa . ts i
delegację	d e . l e . g aa . ts j e
delegować	d e . l e . g oo . v a dzi
delegować	d e . l e . g oo . v a tsi
delikatnością	d e . l i . k a . t n oo si . tsi o w_
Delikatny	d e . l i . k aa . t n y
demograf	d e . m oo . g r a f
demograf	d e . m oo . g r a v
demograficznego	d e . m o . g r a . f i . tSz n ee . g o
demograficzny	d e . m o . g r a . f ii . tSz n y
Demokraci	d e . m o . k r aa . tsi i
Demokracja	d e . m o . k r aa . ts j a
demokracji	d e . m o . k r aa . ts i
demokrację	d e . m o . k r aa . ts j e
Demokratyczna	d e . m o . k r a . t yy . tSz n a
Demokratyczne	d e . m o . k r a . t yy . tSz n e
demokratycznego	d e . m o . k r a . t y . tSz n ee . g o
demokratycznej	d e . m o . k r a . t yy . tSz n e j
demokratycznie	d e . m o . k r a . t yy . tSz ni e
demokratycznych	d e . m o . k r a . t yy . tSz n y x
demokratycznym	d e . m o . k r a . t yy . tSz n y m
Demonstracja	d e . m o w_ . s t r aa . ts j a
demonstracje	d e . m o w_ . s t r aa . ts j e
demonstracji	d e . m o w_ . s t r aa . ts i
